mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,param_sampler,param_scaler,params,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,std_train_roc_auc,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,std_test_f1,rank_test_f1,mean_train_f1,std_train_f1,mean_test_recall,std_test_recall,rank_test_recall,mean_train_recall,std_train_recall,mean_test_precision,std_test_precision,rank_test_precision,mean_train_precision,std_train_precision,log_target,transf_feat,features,param_transformer
0.16,0.01,0.14,0.01,LogisticRegression(),RandomUnderSampler(),StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.74,0.0,2,0.74,0.0,0.68,0.0,12,0.68,0.0,0.25,0.0,2,0.25,0.0,0.67,0.01,3,0.67,0.0,0.15,0.0,10,0.16,0.0,1,0,,
0.3,0.01,0.12,0.01,LogisticRegression(),RandomUnderSampler(),passthrough,"{'estimator': LogisticRegression(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.74,0.0,3,0.74,0.0,0.68,0.0,10,0.68,0.0,0.25,0.0,1,0.25,0.0,0.67,0.01,2,0.67,0.0,0.16,0.0,9,0.16,0.0,1,0,,
0.65,0.04,0.13,0.03,LogisticRegression(),passthrough,StandardScaler(),"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.74,0.01,5,0.74,0.0,0.92,0.0,2,0.92,0.0,0.02,0.01,13,0.02,0.0,0.01,0.0,13,0.01,0.0,0.48,0.08,2,0.5,0.03,1,0,,
1.32,0.14,0.1,0.01,LogisticRegression(),passthrough,passthrough,"{'estimator': LogisticRegression(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.74,0.01,6,0.74,0.0,0.92,0.0,1,0.92,0.0,0.02,0.01,14,0.02,0.0,0.01,0.0,14,0.01,0.0,0.47,0.13,3,0.49,0.04,1,0,,
1.94,0.1,0.63,0.04,RandomForestClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.72,0.0,10,0.98,0.0,0.68,0.01,11,0.73,0.0,0.25,0.01,6,0.38,0.0,0.65,0.01,8,1.0,0.0,0.15,0.0,14,0.23,0.0,1,0,,
1.77,0.14,0.62,0.05,RandomForestClassifier(),RandomUnderSampler(),passthrough,"{'estimator': RandomForestClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.73,0.0,9,0.98,0.0,0.68,0.0,9,0.73,0.01,0.25,0.0,3,0.38,0.0,0.66,0.01,5,1.0,0.0,0.15,0.0,11,0.23,0.0,1,0,,
11.95,0.81,0.75,0.06,RandomForestClassifier(),passthrough,StandardScaler(),"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': StandardScaler()}",0.71,0.01,15,1.0,0.0,0.92,0.0,5,1.0,0.0,0.01,0.01,15,1.0,0.0,0.01,0.0,15,1.0,0.0,0.38,0.18,8,1.0,0.0,1,0,,
11.71,0.44,0.71,0.06,RandomForestClassifier(),passthrough,passthrough,"{'estimator': RandomForestClassifier(), 'sampler': 'passthrough', 'scaler': 'passthrough'}",0.7,0.0,16,1.0,0.0,0.92,0.0,4,1.0,0.0,0.01,0.0,16,1.0,0.0,0.01,0.0,16,1.0,0.0,0.41,0.07,4,1.0,0.0,1,0,,
3.9,1.47,0.15,0.02,LGBMClassifier(),RandomUnderSampler(),StandardScaler(),"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': StandardScaler()}",0.73,0.0,8,0.83,0.0,0.68,0.01,14,0.7,0.0,0.25,0.0,5,0.3,0.0,0.66,0.0,4,0.81,0.0,0.15,0.0,13,0.19,0.0,1,0,,
12.92,5.27,0.14,0.05,LGBMClassifier(),RandomUnderSampler(),passthrough,"{'estimator': LGBMClassifier(), 'sampler': RandomUnderSampler(), 'scaler': 'passthrough'}",0.73,0.01,7,0.83,0.0,0.68,0.01,13,0.7,0.0,0.25,0.0,4,0.3,0.0,0.67,0.01,1,0.81,0.01,0.15,0.0,12,0.19,0.0,1,0,,
